,Jahr,Monat,TempMittel,TempMax,TempMin,LuftFeuchte,WindMittel,WindMax,WindRichtung,Luftdruck,Niederschlag
1,2022,1,3.1,14.4,-5.7,76.8,2.2,11.8,191.4,980.1,33.3
2,2022,2,6.0,22.8,-9.7,70.1,1.7,10.2,163.3,987.1,35.7
3,2022,3,7.4,26.2,-1.8,60.1,2.1,15.1,200.0,990.2,13.8
4,2022,4,9.2,25.7,-1.0,55.3,2.0,10.1,175.2,986.8,22.5
5,2022,5,13.0,31.1,3.4,61.4,2.4,13.9,217.1,982.6,49.0
6,2022,6,21.6,35.1,9.3,63.3,1.7,11.1,187.5,986.2,163.0
7,2022,7,20.4,29.8,13.1,68.1,1.8,8.8,210.6,984.6,69.2
8,2022,8,18.9,32.0,11.0,70.6,1.8,8.5,221.4,985.8,99.1
9,2022,9,17.9,28.8,7.7,68.6,1.6,8.7,176.5,988.4,22.4
10,2022,10,11.6,24.1,2.0,73.9,1.6,16.5,185.9,988.7,27.5
11,2022,11,5.5,17.1,-2.0,80.8,1.7,10.0,186.7,985.2,27.4
12,2022,12,5.6,17.0,-4.7,80.4,1.8,10.3,197.9,984.3,41.5
